Platform,Product ID,Product Name,Category,Sub-Category
Blinkit,557193,"Welspun 100% Cotton Rapid Absorbent Cotton Bath Towel (59"" x 27.6"", Magenta)",Bathroom Essentials,Bathroom Essentials
Blinkit,557191,"Welspun 100% Cotton Super Quik Absorbent Cotton Bath Towel (59"" x 27.6"", Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,570051,"Welspun Cotton Hand Towel (27"" x 59"", Anemone)",Bathroom Essentials,Bathroom Essentials
Blinkit,557194,"Welspun Fast Absorbent Cotton Bath Towel (27"" x 59"", Green)",Bathroom Essentials,Bathroom Essentials
Blinkit,569959,"Welspun Quik Dry Cotton Bath Towel (27"" x 59"", Red)",Bathroom Essentials,Bathroom Essentials
Blinkit,541622,"Welspun Quik Dry Cotton Bath Towel (27.6"" x 59.1"", Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,628979,Wewel Heavy Quality Plastic Cloth Clips (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,611163,Wewel Plastic Cloth Clips (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,611161,Wewel Premium Polypropylene Cloth Hanger (Black),Bathroom Essentials,Bathroom Essentials
Blinkit,628973,Wewel Ryno Plastic Cloth Clips (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,611160,Wewel Stainless Steel Cloth Hanger with 25 Clips (Silver),Bathroom Essentials,Bathroom Essentials
Blinkit,611155,WonderStand Multipurpose Self Adhessive Wall Shelf (Black),Bathroom Essentials,Bathroom Essentials
Blinkit,604241,WonderStand Over Door Hooks (Black),Bathroom Essentials,Bathroom Essentials
Blinkit,609904,"WonderStand Shower Caddy Bathroom Shelf Set (Metal, Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,609898,WonderStand Toilet Roll Holder with Mobile Shelf (Black),Bathroom Essentials,Bathroom Essentials
Blinkit,617175,WonderStand Washing Machine Stand (Black),Bathroom Essentials,Bathroom Essentials
